deptCode,courseNum,courseName,courseDescription,courseNotes,semester,min_credits,max_credits
ACCT,2001, Financial Accounting," The course introduces accounting as a discipline and the various uses of accounting information. It covers the accumulation, processing, and communication of accounting information. The measurement of assets, liabilities, equities and income are emphasized."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered in fall and spring.,3,3
ACCT,2002, Managerial Accounting, Introduction to management accounting in terms of modern cost accounting and budgetary systems. The course emphasizes management uses of accounting information in the planning and controlling of business operations in the manufacturing and services sectors.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered in fall and spring.,3,3
ACCT,3001, Intermediate Accounting I," An in-depth coverage of accounting valuation processes, accounting income measurement, and disclosure issues in financial reports."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered in fall and spring.,3,3
ACCT,3002, Intermediate Accounting II," A continuation of Intermediate Accounting I (ACCT 3002), focusing on the liabilities and equity sections in various types of ownership."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered in fall and spring.,3,3
ACCT,3003, Advanced Accounting," This course focuses on accounting aspects of equity investments, mergers and acquisitions, and intercompany transactions. Topics include the preparation and analysis of consolidated financial statements and other advanced accounting issues such as special purpose entities (SPEs) and foreign currency transactions and translations."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered in fall and spring.,3,3
ACCT,3004, Cost Accounting," Analysis of management accounting reports for decision making purposes. Cost analysis techniques, budgeting and performance evaluation and cost data for quantitative models and control systems."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered in fall and spring.,3,3
ACCT,3005, Auditing," The course introduces the basics of assurance and attestation services and the role of auditing in enhancing the credibility of financial statements. Topics covered will include factors affecting the auditing profession, auditor’s characteristics, types of audit evidence, the audit process and the auditor’s report."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered in fall and spring.,3,3
ACCT,3006, Principles of Taxation,," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered in fall and spring.,3,3
ACCT,4000, Automated Financial Accounting," This course focuses on the application of financial accounting in businesses using Enterprise Resource Planning (ERP) systems as a platform to manage the financial resources and controls of a business entity. It starts with the conceptual foundations of accounting information systems, internal controls and auditing with a focus on the computerization of core accounting cycles. The course requires students to utilize their knowledge in accounting to analyze and use ERP systems through a complete cycle of transaction processing and reporting. The course emphasizes the application of information technology in financial accounting.", N/A, N/A,3,3
ACCT,4001, Contemporary Issues in Auditing and Forensic Accounting," This course highlights the practical and governance aspects of the auditing function and its role in promoting financial transparency. Topics covered will include professional ethics, materiality and risk, fraud auditing, sampling techniques, auditing in IT environment, auditing some operational cycles and forensic accounting techniques.", N/A, Offered in fall and spring.,3,3
ACCT,4002, Special Topics in Tax Accounting,, N/A, Offered in fall and spring.,3,3
ACCT,4004, Financial Statement Analysis," This interdisciplinary course lies at the intersection between financial accounting and finance. Various financial statement analysis techniques will be covered with a focus on ratio analysis and the extended DuPont Analysis. The course will also cover financial statements ‘reformulation’ for the purpose of effective analysis and sound decision making. In this course, students will also be exposed to the effects of accounting discretion on the quality of financial statements. Furthermore, red flags of aggressive financial reporting and methods of earnings management will also be presented. Other topics pertaining to pro forma financial statements, forecasting, and evaluation are also discussed. Generally, the course takes a comparative accounting standards approach within the contexts of International Financial Reporting Standards (IFRSs), the Egyptian Accounting standards (EASs), US Generally Accepted Accounting Principles (US GAAP).", N/A, N/A,3,3
ACCT,4005, Contemporary Issues in Financial Reporting," This is a capstone course that will engage students in analysis of a wide range of contemporary issues in financial accounting and reporting by expanding and integrating students’ knowledge of the Egyptian Accounting Standards and International Financial Reporting Standards (IFRS) in a rigorous study of the current and advanced financial reporting issues that relate to Assets, Liabilities, Equity, Income and Disclosures.", N/A, Offered in fall and spring.,3,3
ACCT,4070, Special Topics in Accounting, Considers selected topics of current relevance in Accounting.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered occasionally.,3,3
ACCT,4075, Independent Study in Accounting," Guided readings, research, and discussions on specific selected topic in Accounting."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.", Offered occasionally.,1,3
ACCT,5201, Financial Reporting and Analysis," This is a basic course in financial accounting covering financial reporting by business entities. It develops the framework for the analysis, classification, reporting, and disclosure of business transactions. The preparation and interpretation of financial statements and reports, and ethical issues are emphasized.", N/A, Offered in fall and spring.,3,3
ACCT,5211, Accounting for Managers," This is a basic course in financial accounting covering financial reporting by business entities. It develops the framework for the analysis, classification, reporting, and disclosure of business transactions. The preparation and interpretation of financial statements and reports, and ethical issues are emphasized.", N/A, N/A,1,1
ACCT,5301, Managerial Accounting for Decision Making," This course focuses on corporate decision-making skills for managers by concentrating on the concepts and practices of managerial accounting. The emphasis is on building a general framework for choosing among alternative cost systems for operational control and product cost and profitability measurement. The course covers recent conceptual and analytical developments in the area of management accounting, including study of modern and relevant planning, control techniques and their underlying concepts as applied to various functional areas within the firm, and performance evaluation.", N/A, Offered in fall and spring,3,3
ACCT,5370, Selected Topics in Accounting, It considers offering contemporary topics of current relevance in Accounting., N/A, Offered occasionally.,3,3
ACCT,5375, Independent Study in Accounting," Guided readings, research, and discussions on specific selected topic in Accounting.", N/A, Offered occasionally.,1,3
