deptCode,courseNum,PredeptCode,PrecourseNum,Prereqtext,isconcurrent
ACCT,2002,ACCT,2001," N/A",0
ACCT,3001,ACCT,2001," N/A",0
ACCT,3002,ACCT,3001," N/A",0
ACCT,3003,ACCT,3002," N/A",0
ACCT,3004,ACCT,2002," N/A",0
ACCT,3005,ACCT,3002," N/A",0
ACCT,3006,ACCT,3002," N/A",0
ACCT,4000,MOIS,2101," N/A",0
ACCT,4001,ACCT,3005," N/A",0
ACCT,4002,ACCT,3006," N/A",0
ACCT,4004,ACCT,3002," N/A",0
ACCT,4005,SPAM,0," Graduating Senior.",0
ACCT,4070,SPAM,0," Prerequisite: Consent of Instructor.",0
ACCT,4075,SPAM,0," Prerequisites: Senior standing and consent of ACCT unit head and chair.",0
ACCT,5211,SPAM,0," Co-requisite:",0
ACCT,5301,BADM,5310," N/A",0
ACCT,5370,BADM,5310," N/A",0
ACCT,5375,SPAM,0," Consent of the Instructor and Director of the program.",0
AIAS,5152,AIAS,4101," N/A",0
ALIN,2221,SPAM,0," Prerequisites are not listed for every course. Entry into all intermediate courses presupposes that the student is of intermediate standing. The instructor’s permission may also be required. Placement is determined by written exam for incoming students and if necessary for continuing students.",0
ALIN,2411,SPAM,0," Prerequisite: Intermediate level in Arabic or consent of program director.",0
ALIN,3411,SPAM,0," Prerequisite: Advanced level in Arabic or consent of program director.",0
ALNG,1020,ALNG,1010," N/A",0
ALNG,1502,ALNG,1501," N/A",0
ALNG,2010,ALNG,1020," N/A",0
ALNG,3105,SPAM,0," Any 2000 level Arabic language course.",0
ALNG,3131,ALNG,2131," N/A",0
ALNG,3327,SPAM,0," Good command of Arabic: native speakers of Arabic, heritage students, and/or native-like (must be at the level of ACTFL Advanced High).",0
ALNG,3912,SPAM,0," Native Speakers of Arabic who are: Thanawyia Amma holders or exempted from Arabic language courses or at Advanced level of Arabic language.",0
ALNG,3993,SPAM,0," Students should be holding Thanaweya Amma certificate or advanced level Arabic.",0
ALWT,4201,ALWT,4271," N/A",0
ALWT,4202,ALWT,4271," N/A",0
ALWT,4271,SPAM,0," Students reaching Advanced level in the Arabic Writing Placement Exam or have taken either 3271.",0
ALWT,4272,SPAM,0," Approval of ALNG Director.",0
ALWT,4273,SPAM,0," Students reaching advanced level the Arabic Writing Placement Exam or have taken either 3271.",0
ALWT,4274,SPAM,0," Students reaching advanced level in the Arabic Writing Placement Exam or have taken 3271.",0
ALWT,5271,ALWT,4272," N/A",0
AMST,2096,RHET,1000," N/A",0
AMST,3100,SPAM,0," Sophomore Standing or Higher",0
AMST,4444,JRMC,2203," N/A",0
ANTH,2005,RHET,2010," N/A",0
ANTH,3015,SPAM,0," Three hours of Social Sciences.",0
ANTH,3020,SPAM,0," Three hours of Social Sciences.",0
ANTH,3040,SPAM,0," Three hours of Social Sciences.",0
ANTH,3045,SPAM,0," Three hours of Social Sciences.",0
ANTH,3060,SPAM,0," Three hours of Social Sciences.",0
ANTH,3070,SPAM,0," Three hours of Social Sciences.",0
